"","X","dataset","row_index","model","param_index","time","acc","auc"
"1",1,1494,1,"glmnet",1001,10302187,0.630331753554502,0.5
"2",2,1494,2,"glmnet",1001,9791131,0.658767772511848,0.5
"3",3,1494,3,"glmnet",1001,13913923,0.672985781990521,0.5
"4",4,1494,4,"glmnet",1001,11188886,0.687203791469194,0.5
"5",5,1494,5,"glmnet",1001,13243960,0.654028436018957,0.5
"6",6,1494,6,"glmnet",1001,9447255,0.639810426540284,0.5
"7",7,1494,7,"glmnet",1001,11381915,0.625592417061611,0.5
"8",8,1494,8,"glmnet",1001,11342297,0.658767772511848,0.5
"9",9,1494,9,"glmnet",1001,11470778,0.701421800947867,0.5
"10",10,1494,10,"glmnet",1001,7871226,0.654028436018957,0.5
"11",11,1494,11,"glmnet",1001,10552328,0.658767772511848,0.5
"12",12,1494,12,"glmnet",1001,10274891,0.654028436018957,0.5
"13",13,1494,13,"glmnet",1001,9681808,0.639810426540284,0.5
"14",14,1494,14,"glmnet",1001,9559154,0.649289099526066,0.5
"15",15,1494,15,"glmnet",1001,10321984,0.644549763033175,0.5
"16",16,1494,16,"glmnet",1001,11285231,0.66824644549763,0.5
"17",17,1494,17,"glmnet",1001,11185819,0.630331753554502,0.5
"18",18,1494,18,"glmnet",1001,9354540,0.672985781990521,0.5
"19",19,1494,19,"glmnet",1001,11204546,0.720379146919431,0.5
"20",20,1494,20,"glmnet",1001,9908771,0.734597156398104,0.5
"21",21,1494,1,"glmnet",1002,71027159,0.834123222748815,0.905340273761326
"22",22,1494,2,"glmnet",1002,94298870,0.886255924170616,0.961031175059952
"23",23,1494,3,"glmnet",1002,96884653,0.843601895734597,0.931210451112472
"24",24,1494,4,"glmnet",1002,85580807,0.900473933649289,0.949634273772205
"25",25,1494,5,"glmnet",1002,76176549,0.853080568720379,0.898451459201906
"26",26,1494,6,"glmnet",1002,77585640,0.876777251184834,0.923001949317739
"27",27,1494,7,"glmnet",1002,75420501,0.819905213270142,0.896336785577292
"28",28,1494,8,"glmnet",1002,77486918,0.853080568720379,0.901578737010392
"29",29,1494,9,"glmnet",1002,80314339,0.872037914691943,0.936936936936937
"30",30,1494,10,"glmnet",1002,62526448,0.872037914691943,0.941830454635696
"31",31,1494,11,"glmnet",1002,67287316,0.872037914691943,0.93015587529976
"32",32,1494,12,"glmnet",1002,56952961,0.881516587677725,0.916319237641453
"33",33,1494,13,"glmnet",1002,41684742,0.848341232227488,0.899512670565302
"34",34,1494,14,"glmnet",1002,71737278,0.862559241706161,0.929670546458868
"35",35,1494,15,"glmnet",1002,71286491,0.867298578199052,0.94156862745098
"36",36,1494,16,"glmnet",1002,72266201,0.886255924170616,0.939108409321175
"37",37,1494,17,"glmnet",1002,69612446,0.834123222748815,0.908906882591093
"38",38,1494,18,"glmnet",1002,68932398,0.85781990521327,0.920902224943866
"39",39,1494,19,"glmnet",1002,63747711,0.886255924170616,0.940008920606601
"40",40,1494,20,"glmnet",1002,67894801,0.890995260663507,0.93352534562212
"41",41,1494,1,"glmnet",1003,13816507,0.630331753554502,0.5
"42",42,1494,2,"glmnet",1003,9595241,0.658767772511848,0.5
"43",43,1494,3,"glmnet",1003,11849725,0.672985781990521,0.5
"44",44,1494,4,"glmnet",1003,9830785,0.687203791469194,0.5
"45",45,1494,5,"glmnet",1003,10692243,0.654028436018957,0.5
"46",46,1494,6,"glmnet",1003,11751520,0.639810426540284,0.5
"47",47,1494,7,"glmnet",1003,9649408,0.625592417061611,0.5
"48",48,1494,8,"glmnet",1003,13100700,0.658767772511848,0.5
"49",49,1494,9,"glmnet",1003,11434142,0.701421800947867,0.5
"50",50,1494,10,"glmnet",1003,11533885,0.654028436018957,0.5
"51",51,1494,11,"glmnet",1003,12055897,0.658767772511848,0.5
"52",52,1494,12,"glmnet",1003,11192097,0.654028436018957,0.5
"53",53,1494,13,"glmnet",1003,11410795,0.639810426540284,0.5
"54",54,1494,14,"glmnet",1003,9700367,0.649289099526066,0.5
"55",55,1494,15,"glmnet",1003,10190058,0.644549763033175,0.5
"56",56,1494,16,"glmnet",1003,11381030,0.66824644549763,0.5
"57",57,1494,17,"glmnet",1003,9918126,0.630331753554502,0.5
"58",58,1494,18,"glmnet",1003,12135480,0.672985781990521,0.5
"59",59,1494,19,"glmnet",1003,9984222,0.720379146919431,0.5
"60",60,1494,20,"glmnet",1003,11535850,0.734597156398104,0.5
"61",61,1494,1,"glmnet",1004,12126925,0.630331753554502,0.5
"62",62,1494,2,"glmnet",1004,11488224,0.658767772511848,0.5
"63",63,1494,3,"glmnet",1004,11300020,0.672985781990521,0.5
"64",64,1494,4,"glmnet",1004,11243791,0.687203791469194,0.5
"65",65,1494,5,"glmnet",1004,11164102,0.654028436018957,0.5
"66",66,1494,6,"glmnet",1004,11385588,0.639810426540284,0.5
